,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingYds,PassingTD,Int
46,Calvin Ridley,ATL,WR,99.7,1425.8,9.1,0.8,4.8,26.3,0.1,0,0,0
47,D'Andre Swift,DET,RB,60,447.1,8.4,2.3,206.6,905.8,8.4,0,0,0
48,Justin Fields,CHI,QB,0,0,0,4.5,60.7,306,2.5,2664.7,16.8,9.7
49,Chris Carson,SEA,RB,43.4,321.1,7.3,2.1,228.2,1045.5,7.3,0,0,0
50,J.K. Dobbins,BAL,RB,30.1,228.4,9.4,1.6,210.9,1071.5,9.4,0,0,0
51,Clyde Edwards-Helaire,KC,RB,50,385.4,7,1.8,221.3,996,7,0,0,0
52,DeAndre Hopkins,ARI,WR,121.8,1461,7.6,1.5,1.5,7.4,0,0,0,0
53,Josh Jacobs,LV,RB,31.5,236.3,9.4,2,249.8,1068.2,9.4,0,0,0
54,Cam Newton,NE,QB,0,0,0,1.8,81.7,354.3,5.7,2217.6,12.9,9.1
55,D.K. Metcalf,SEA,WR,86.6,1305.1,9.9,1.4,0.3,1.3,0,0,0,0
56,David Montgomery,CHI,RB,37.5,298.7,7.9,1.9,249.5,1044.7,7.9,0,0,0
57,Justin Jefferson,MIN,WR,94.5,1399.4,7.9,0.8,0.4,1.5,0,0,0,0
58,Miles Sanders,PHI,RB,43.4,361,6.4,1.8,217.8,1044.9,6.4,0,0,0
59,A.J. Brown,TEN,WR,84.6,1269.2,9.8,0.9,0.5,7.5,0,0,0,0
60,Jameis Winston,NO,QB,0,0,0,3.9,38.3,162.3,0.9,2836.6,19.4,12.7
61,Myles Gaskin,MIA,RB,48.2,372.9,6.1,2.1,215.9,917.4,6.1,0,0,0
62,Trey Lance,SF,QB,0,0,0,4,55.1,283.9,2.6,2290.6,14.6,8.3
63,Keenan Allen,LAC,WR,111.4,1207.9,7.9,1,3,16.3,0.1,0,0,0
64,Mike Evans,TB,WR,76.1,1115.8,9.6,0.7,0,0,0,0,0,0
65,Mike Davis,ATL,RB,48.8,311.9,6.6,1.9,227,895.3,6.6,0,0,0
66,Amari Cooper,DAL,WR,92.8,1221.3,7.4,0.8,2.6,11.8,0,0,0,0
67,Terry McLaurin,WAS,WR,91.4,1235.9,6.8,0.7,1.8,12.1,0.1,0,0,0
68,Darrell Henderson,LAR,RB,31.5,264.2,6.8,1.9,215,921.2,6.8,0,0,0
69,Michael Thomas,NO,WR,103.9,1237.2,6.7,0.8,0.3,-1,0,0,0,0
70,Allen Robinson II,CHI,WR,97.3,1213.8,6.8,0.7,0.3,0.3,0,0,0,0
71,Robert Woods,LAR,WR,98.8,1091.3,6,0.8,18.3,113.3,1,0,0,0
72,Adam Thielen,MIN,WR,81.1,1033.9,9.2,0.7,3.2,14.5,0.3,0,0,0
73,George Kittle,SF,TE,96.7,1213.4,6.6,0.7,0,0,0,0,0,0
74,Chase Edmonds,ARI,RB,52.2,381.9,4.9,1.5,173.2,770.8,4.9,0,0,0
75,CeeDee Lamb,DAL,WR,84.3,1100.8,6.7,0.8,8.5,61.4,0.6,0,0,0
76,Darren Waller,LV,TE,100.4,1148.5,7.1,0.9,0,0,0,0,0,0
77,Tyler Lockett,SEA,WR,92.5,1055.7,8.4,0.7,1.6,5.7,0,0,0,0
78,D.J. Moore,CAR,WR,82.9,1200.6,5.4,0.8,3.1,20.1,0.1,0,0,0
79,Julio Jones,TEN,WR,78.2,1107.3,7.2,0.7,0.5,-0.5,0,0,0,0
80,Cooper Kupp,LAR,WR,93.5,1070.8,7.2,0.7,4,23.8,0.1,0,0,0
81,Chris Godwin,TB,WR,82.3,1077.3,7.4,0.8,0.3,2,0,0,0,0
82,Kareem Hunt,CLE,RB,38.9,317.5,5.5,1.3,154.6,684.4,5.5,0,0,0
83,Courtland Sutton,DEN,WR,74.1,1057.3,6.7,0.8,1.7,9.4,0,0,0,0
84,Tee Higgins,CIN,WR,79.2,1062.4,6.4,0.8,2.3,12.3,0,0,0,0
85,Odell Beckham Jr.,CLE,WR,70.2,985.1,6.6,0.7,5.8,51.7,0.3,0,0,0
86,Kenny Golladay,NYG,WR,70,1046.5,6.6,0.7,0,0,0,0,0,0
87,Brandon Aiyuk,SF,WR,73,929.9,6.4,0.7,13.8,78.2,0.7,0,0,0
88,Ja'Marr Chase,CIN,WR,73.3,1063,6.1,1.2,1.5,8.2,0,0,0,0
89,Travis Etienne,JAC,RB,60.7,484.2,4.1,3,130.6,581.8,4.1,0,0,0
90,Damien Harris,NE,RB,12.6,95.4,5.7,1.4,205.9,963.1,5.7,0,0,0
91,Raheem Mostert,SF,RB,23.8,207.7,6.1,1.4,154.2,768.2,6.1,0,0,0
92,Chase Claypool,PIT,WR,70,900.4,6.9,0.9,8.2,43.9,0.6,0,0,0
93,Teddy Bridgewater,DEN,QB,0,0,0,1.7,31.6,135.9,1.7,2100.8,12.7,9.1
94,Diontae Johnson,PIT,WR,94.7,985.7,6.3,1.4,4.4,27.2,0.1,0,0,0
95,James Robinson,JAC,RB,29.3,209.9,5.5,1.5,182.7,798.3,5.5,0,0,0
96,D.J. Chark Jr.,JAC,WR,74.5,993.6,6.4,0.6,0.3,3.3,0,0,0,0
97,Brandin Cooks,HOU,WR,73.5,1036.4,5.2,0.7,0.8,6.8,0,0,0,0
98,Javonte Williams,DEN,RB,25.1,194.1,5.2,2,183.3,814.1,5.2,0,0,0
99,Deebo Samuel,SF,WR,71.8,918.3,4.8,0.8,13,97.2,0.7,0,0,0
100,David Johnson,HOU,RB,35.9,322.5,4.7,1.5,147.8,619.2,4.7,0,0,0
101,Mark Andrews,BAL,TE,69.5,847.9,8.2,0.9,0,0,0,0,0,0
102,Taysom Hill,NO,QB,0,0,0,3.9,75.4,396.5,4.5,1302.9,7.6,4.9
103,Robby Anderson,CAR,WR,80.3,989.8,5.2,0.8,2.5,12.3,0.1,0,0,0
104,Jimmy Garoppolo,SF,QB,0,0,0,1.2,14.9,36.6,0.5,2175.7,13.2,7.1
105,JuJu Smith-Schuster,PIT,WR,90,907.2,6.8,0.9,0,0,0,0,0,0
106,Leonard Fournette,TB,RB,31,212.8,6.3,1.2,165.2,677,6.3,0,0,0
107,Michael Gallup,DAL,WR,63.3,932.1,5.9,0.6,0,0,0,0,0,0
108,Jerry Jeudy,DEN,WR,68.2,975,5.2,0.8,0,0,0,0,0,0
109,Marquise Brown,BAL,WR,61.2,823.2,7.1,0.6,2.5,13,0.1,0,0,0
110,Tyler Boyd,CIN,WR,83.3,925.7,5.3,0.8,2.1,15.6,0,0,0,0
111,Melvin Gordon III,DEN,RB,22.3,143.2,5.7,2.4,169.4,746,5.7,0,0,0
112,Zack Moss,BUF,RB,24.5,176.7,5.7,1.2,157.4,672.9,5.7,0,0,0
113,Curtis Samuel,WAS,WR,63.3,745.9,4.9,0.7,24.7,129.1,1.1,0,0,0
114,Jarvis Landry,CLE,WR,74.3,899.6,5.1,0.8,2,10.1,0.3,0,0,0
115,Ronald Jones II,TB,RB,17.8,124.4,5.6,1.4,169.2,759.4,5.6,0,0,0
116,Laviska Shenault Jr.,JAC,WR,69.8,769.4,4.9,0.7,20.2,112.3,0.6,0,0,0
117,Kyle Pitts,ATL,TE,69,832.5,6.4,1.2,0,0,0,0,0,0
118,DeVante Parker,MIA,WR,67.1,858.6,5.7,0.7,0,0,0,0,0,0
119,DeVonta Smith,PHI,WR,63.5,910.1,4.9,1.2,1,6.2,0,0,0,0
120,Mike Williams,LAC,WR,53.5,879,5.2,0.6,0.3,0.5,0,0,0,0
121,T.Y. Hilton,IND,WR,62.2,828.2,5.8,0.6,0,0,0,0,0,0
122,Will Fuller V,MIA,WR,66.8,850.8,5.3,0.6,0,0,0,0,0,0
123,Trey Sermon,SF,RB,19.5,159,5.2,1.8,141.1,641.2,5.2,0,0,0
124,Drew Lock,DEN,QB,0,0,0,2.4,28.2,111.6,1,1787.8,11,7.6
125,T.J. Hockenson,DET,TE,73.8,821.7,5.2,0.8,0,0,0,0,0,0
126,Kenyan Drake,LV,RB,35.1,247.7,4.6,1.4,137.3,571.2,4.6,0,0,0
127,Tyrod Taylor,HOU,QB,0,0,0,1.1,26.8,124.8,1,1700.7,9.2,4.8
128,Corey Davis,NYJ,WR,68.1,885.5,4.1,0.8,0,0,0,0,0,0
129,James Conner,ARI,RB,21.8,151.9,5.4,1.4,140.6,622.9,5.4,0,0,0
130,Gus Edwards,BAL,RB,10.3,88,4.7,1.3,149.9,728.8,4.7,0,0,0
131,Latavius Murray,NO,RB,26.2,188,4.1,1.2,142.6,606.5,4.1,0,0,0
132,Marvin Jones Jr.,JAC,WR,60.4,768.3,5.4,0.6,0.3,0,0,0,0,0
133,Mecole Hardman,KC,WR,51.8,722.5,5.5,1.7,6.4,43.7,0.1,0,0,0
134,Michael Carter,NYJ,RB,26.7,204.2,3.9,1.8,139.4,586.1,3.9,0,0,0
135,Tyrell Williams,DET,WR,55.9,809.6,4,0.7,0,0,0,0,0,0
136,Antonio Brown,TB,WR,60.3,674.3,6,0.6,2,11.4,0,0,0,0
137,Henry Ruggs III,LV,WR,49.4,759.9,4.1,1.7,7.6,42,0.1,0,0,0
138,Cole Beasley,BUF,WR,66.1,763.7,4.5,0.6,0,0,0,0,0,0
139,Jamaal Williams,DET,RB,35.3,240.2,3.3,1.2,130,526.9,3.3,0,0,0
140,Breshad Perriman,DET,WR,52.7,765.6,3.9,0.1,1.9,11.3,0,0,0,0
141,AJ Dillon,GB,RB,14.5,110.1,4.4,1.4,140.4,633.9,4.4,0,0,0
142,Jaylen Waddle,MIA,WR,56.4,749.1,4.6,1.2,1,5.6,0,0,0,0
143,Dallas Goedert,PHI,TE,63.9,710.3,5.1,0.7,0,0,0,0,0,0
144,Michael Pittman Jr.,IND,WR,56.6,743.9,4,0.7,3.4,22.5,0,0,0,0
145,Jalen Reagor,PHI,WR,54,733.6,3.9,0.7,3.1,17.6,0.1,0,0,0
146,Devin Singletary,BUF,RB,30.5,215.4,3,1.3,121,534,3,0,0,0
147,Robert Tonyan,GB,TE,54.6,602,6.2,0.1,0,0,0,0,0,0
148,Darnell Mooney,CHI,WR,61.2,711.8,4.2,0.7,3.3,18.7,0.1,0,0,0
149,Emmanuel Sanders,BUF,WR,56,684.8,4.8,0.6,1.1,6.7,0.1,0,0,0
150,Tony Pollard,DAL,RB,29.8,219.4,3.2,1.2,111.2,497.4,3.2,0,0,0
151,Russell Gage,ATL,WR,66.6,722.1,4,0.6,1.5,6.3,0,0,0,0
152,Nelson Agholor,NE,WR,49.8,708.9,4.3,0.7,0.3,1.3,0,0,0,0
153,Mac Jones,NE,QB,0,0,0,1.2,18.6,68.8,0.9,1541.3,9.1,6.2
154,Tyler Higbee,LAR,TE,58.8,654.4,5.2,0.6,0,0,0,0,0,0
155,Noah Fant,DEN,TE,62.1,692,4.4,0.6,0,0,0,0,0,0
156,Logan Thomas,WAS,TE,62.8,646.5,5,0.6,0,0,0,0,0,0
157,Gabriel Davis,BUF,WR,42.9,634.5,5,0.1,0.3,0,0,0,0,0
158,Tevin Coleman,NYJ,RB,19,143.3,3.8,1.2,140.1,548.3,3.8,0,0,0
159,Mike Gesicki,MIA,TE,55.3,621.8,5.3,0.7,0,0,0,0,0,0
160,Allen Lazard,GB,WR,47.9,661.9,4.1,0.6,1.3,9.7,0,0,0,0
161,J.D. McKissic,WAS,RB,56.2,410,1.5,0.8,66.6,288.9,1.5,0,0,0
162,Nyheim Hines,IND,RB,50,373.5,2.1,1.2,62.1,267.1,2.1,0,0,0
163,Irv Smith Jr.,MIN,TE,51.8,569.4,5.4,0.7,0,0,0,0,0,0
164,Andy Dalton,CHI,QB,0,0,0,0.8,12.9,43.5,0.5,1450.1,8.5,5
165,Jared Cook,LAC,TE,45.9,577.2,5.1,0.6,0,0,0,0,0,0
166,Rob Gronkowski,TB,TE,42.1,549.8,5.3,0.2,0,0,0,0,0,0
167,John Brown,LV,WR,47.9,651,3.7,0.6,0.3,1,0,0,0,0
168,Sterling Shepard,NYG,WR,60.4,616.7,3.5,0.6,3.3,25.8,0.3,0,0,0
169,James White,NE,RB,52.3,423.7,1.8,1.2,52.4,214.8,1.8,0,0,0
170,Tre'Quan Smith,NO,WR,40.1,576.4,4.6,0.1,0.3,0.5,0,0,0,0
171,Tarik Cohen,CHI,RB,56.6,389.5,1.3,1.3,66.4,277.8,1.3,0,0,0
172,Christian Kirk,ARI,WR,47.8,578.6,4.1,0.6,3.9,26.8,0,0,0,0
173,A.J. Green,ARI,WR,50.4,616.2,3.9,0.7,0,0,0,0,0,0
174,Eric Ebron,PIT,TE,58,574.2,4.6,0.7,0,0,0,0,0,0
175,Alexander Mattison,MIN,RB,16.5,134.2,2.6,0.7,112.8,507.6,2.6,0,0,0
176,Elijah Moore,NYJ,WR,51.6,624.5,3.4,0.4,0.7,4.2,0,0,0,0
177,Rashod Bateman,BAL,WR,43.1,569.2,4.4,0.6,0.8,4.8,0,0,0,0
178,Hunter Henry,NE,TE,53.7,583.9,4.2,0.6,0,0,0,0,0,0
179,Marquez Valdes-Scantling,GB,WR,33,568.5,3.9,0.6,2.5,14.8,0,0,0,0
180,Jamison Crowder,NYJ,WR,52.3,581.9,3.8,0.6,0.3,3.3,0,0,0,0
181,Jonnu Smith,NE,TE,53.5,561.6,4.1,0.7,0,0,0,0,0,0
182,Evan Engram,NYG,TE,57.9,587.5,3.7,0.7,0,0,0,0,0,0
183,Rondale Moore,ARI,WR,48.6,600.5,3.3,1.2,1.1,6.2,0,0,0,0
184,Blake Jarwin,DAL,TE,48.3,539.6,4.1,0.2,0,0,0,0,0,0
185,Randall Cobb,HOU,WR,49,604.9,2.9,0.7,0.5,1.3,0,0,0,0
186,Parris Campbell,IND,WR,43.6,527.3,3.4,0.4,4.9,30.7,0.2,0,0,0
187,DeSean Jackson,LAR,WR,34.3,544.4,3.5,0.6,2.8,17.1,0.1,0,0,0
188,Darius Slayton,NYG,WR,41.6,564.7,3.4,0.6,0.8,2.6,0,0,0,0
189,Rashaad Penny,SEA,RB,15.4,120.7,3.1,0.7,90.8,423.2,3.1,0,0,0
190,Austin Hooper,CLE,TE,49.8,499.6,4.5,0.6,0,0,0,0,0,0
191,Terrace Marshall Jr.,CAR,WR,44.7,582.6,3.2,1.1,0.5,2.8,0,0,0,0
192,Phillip Lindsay,HOU,RB,20.4,130.8,2.7,1.1,104.5,460.6,2.7,0,0,0
193,Adam Trautman,NO,TE,49.6,538,3.8,0.7,0,0,0,0,0,0
194,Anthony Firkser,TEN,TE,48.7,522.8,3.8,0.1,0,0,0,0,0,0
195,Jakobi Meyers,NE,WR,45.4,575.1,2.5,0.4,0.8,4,0,0,0,0
196,Darrel Williams,KC,RB,21.1,155.4,3.2,0.6,76.8,321.2,3.2,0,0,0
197,Hunter Renfrow,LV,WR,44.4,535.8,2.9,0.6,0,0,0,0,0,0
198,Sony Michel,NE,RB,7.4,65.4,2.8,0.6,96.5,429.2,2.8,0,0,0
199,Chris Conley,HOU,WR,35.9,506.4,2.8,0.2,0,0,0,0,0,0
200,Keelan Cole Sr.,NYJ,WR,37.5,477.6,3,0.2,0.3,1.3,0,0,0,0
201,Gerald Everett,SEA,TE,41.9,431.7,3.9,0.6,0,0,0,0,0,0
202,Josh Reynolds,TEN,WR,36.1,469.6,3.1,0.6,0.8,4.5,0,0,0,0
203,Denzel Mims,NYJ,WR,37.3,525.1,2.2,0.6,0.3,0.8,0,0,0,0
204,Van Jefferson,LAR,WR,37.9,455.1,3.2,0.6,1.4,5.8,0,0,0,0
205,Zach Ertz,PHI,TE,43.7,450,3.2,0.1,0,0,0,0,0,0
206,Amon-Ra St. Brown,DET,WR,39.7,507.2,2.3,0.6,0.5,2.3,0,0,0,0
207,Ty Johnson,NYJ,RB,19.9,137.8,2.2,0.3,76.2,329.6,2.2,0,0,0
208,Damien Williams,CHI,RB,19.6,140.7,2.7,0.6,66.9,280.3,2.7,0,0,0
209,Sammy Watkins,BAL,WR,34.8,429.7,3.4,0.6,0.8,7.5,0,0,0,0
210,Rashard Higgins,CLE,WR,29.8,448.4,3,0.6,0,0,0,0,0,0
211,James Washington,PIT,WR,32.4,442.3,2.8,0.6,0,0,0,0,0,0
212,Giovani Bernard,TB,RB,35.1,267.5,1.3,0.6,50.8,183.6,1.3,0,0,0
213,Cole Kmet,CHI,TE,43.2,431.1,3.1,1.2,0,0,0,0,0,0
214,Demarcus Robinson,KC,WR,34.5,411.2,3.2,0.6,0,0,0,0,0,0
215,D'Wayne Eskridge,SEA,WR,33,404.3,3,0.2,0.7,3.7,0,0,0,0
216,Dawson Knox,BUF,TE,33.4,385.3,3.5,0.6,0,0,0,0,0,0
217,Hayden Hurst,ATL,TE,38.5,404.6,2.9,0.1,0,0,0,0,0,0
218,Zach Pascal,IND,WR,28,385.3,3.1,0,0.3,2,0,0,0,0
219,Wayne Gallman,SF,RB,9.8,75.9,2.9,1,71.6,315.6,2.9,0,0,0
220,Justin Jackson,LAC,RB,15.8,112.6,1.6,0.6,77.6,350.4,1.6,0,0,0
221,Chris Herndon IV,NYJ,TE,41.1,414.1,3.2,1.7,0,0,0,0,0,0
222,Jordan Akins,HOU,TE,39.7,421.8,2.5,0.1,0,0,0,0,0,0
223,Anthony Miller,CHI,WR,35.6,409.3,2.4,0.3,2.9,15.9,0.1,0,0,0
224,Jalen Guyton,LAC,WR,27.4,420.6,2.3,0.1,2,7.9,0.1,0,0,0
225,Salvon Ahmed,MIA,RB,13.6,90.5,2.2,0.3,76.6,322.2,2.2,0,0,0
226,Malcolm Brown,MIA,RB,10,66.9,3.4,0.6,76,295,3.4,0,0,0
227,Joshua Kelley,LAC,RB,9.3,67.4,2.4,1.7,98.2,366.7,2.4,0,0,0
228,KJ Hamler,DEN,WR,30.2,361.9,2.4,0.6,10.1,50.3,0.2,0,0,0
229,Josh Palmer,LAC,WR,30,417.7,2.5,1,1,6,0,0,0,0
230,C.J. Uzomah,CIN,TE,36.7,357.7,3.2,0.1,0,0,0,0,0,0
231,Jack Doyle,IND,TE,34.5,354.9,3.2,0.2,0,0,0,0,0,0
232,Darrynton Evans,TEN,RB,16.8,138.6,1.9,0.7,54.2,234.9,1.9,0,0,0
233,Kendrick Bourne,NE,WR,31.6,401.4,2.3,0.1,0,0,0,0,0,0
234,Marlon Mack,IND,RB,9.2,65.8,2.6,0.6,72.9,310.5,2.6,0,0,0
235,Tim Patrick,DEN,WR,29.6,386.7,2.5,0.6,0,0,0,0,0,0
236,Davis Mills,HOU,QB,0,0,0,0.8,8.2,34.4,0.4,892.1,4.7,3.1
237,Cordarrelle Patterson,ATL,RB,15.1,134.1,1.6,0.2,55.1,252.2,1.6,0,0,0
238,Kenneth Gainwell,PHI,RB,14.1,112.8,1.9,1.1,61.8,280.9,1.9,0,0,0
239,Olamide Zaccheaus,ATL,WR,27,395,1.9,0.1,0.3,1.4,0,0,0,0
240,Mo Alie-Cox,IND,TE,33.2,363,2.7,0.6,0,0,0,0,0,0
241,Kadarius Toney,NYG,WR,30,358.8,2,0.3,4.4,28.2,0.1,0,0,0
242,Will Dissly,SEA,TE,30.3,317.9,3,0.1,0,0,0,0,0,0
243,Donald Parham Jr.,LAC,TE,28,340.6,2.5,0.1,0,0,0,0,0,0
244,Preston Williams,MIA,WR,24.5,315.9,2.9,0.6,0,0,0,0,0,0
245,Marquez Callaway,NO,WR,29.4,356,2.1,0.1,0,0,0,0,0,0
246,Nico Collins,HOU,WR,27.5,366.8,1.9,0.2,0,0,0,0,0,0
247,O.J. Howard,TB,TE,27.1,343.1,2.5,0.7,0,0,0,0,0,0
248,Devontae Booker,NYG,RB,10.8,71.8,1.7,0.7,72.3,305,1.7,0,0,0
249,Qadree Ollison,ATL,RB,9,72,2.4,0.7,67.3,257.9,2.4,0,0,0
250,Mark Ingram II,HOU,RB,10.7,89.7,1.8,0.6,58.7,241.8,1.8,0,0,0
251,Dan Arnold,CAR,TE,27.7,346.2,2.3,0.7,0,0,0,0,0,0
252,Chuba Hubbard,CAR,RB,10.7,86.8,2,1.1,61.9,261.5,2,0,0,0
253,Rhamondre Stevenson,NE,RB,9.6,72.3,2.1,1.1,59.9,261.1,2.1,0,0,0
254,Rex Burkhead,HOU,RB,16.7,158.2,1.4,0.6,35.7,150.7,1.4,0,0,0
255,Amari Rodgers,GB,WR,26.4,323.4,1.9,0.2,2.7,16.3,0.1,0,0,0
256,Mohamed Sanu,SF,WR,32.8,338.9,2,0.5,1.3,5.7,0,0,0,0
257,Tyron Johnson,LAC,WR,19.9,312.1,2.1,0.1,2.3,13.1,0,0,0,0
258,Trayveon Williams,CIN,RB,15.9,125.2,1.5,1.6,54.7,234.7,1.5,0,0,0
259,Bryan Edwards,LV,WR,24,337.3,1.9,0.1,0,0,0,0,0,0
260,Tyler Conklin,MIN,TE,29.4,308.5,2.4,0.1,0,0,0,0,0,0
261,Deonte Harris,NO,WR,25.9,291.6,1.5,0.3,8.4,54.2,0.2,0,0,0
262,Adam Humphries,WAS,WR,31.5,343.5,1.6,0.1,0,0,0,0,0,0
263,Kyle Juszczyk,SF,RB,21.9,230.9,0.7,0.7,13.9,52.8,0.7,0,0,0
264,DeeJay Dallas,SEA,RB,14.5,107.1,1.6,0.6,46.7,186.3,1.6,0,0,0
265,David Njoku,CLE,TE,24.3,260.9,2.6,0,0,0,0,0,0,0
266,Boston Scott,PHI,RB,18.1,144.1,1.4,0.6,40,168.6,1.4,0,0,0
267,Keke Coutee,HOU,WR,27.6,324.4,1.7,2.1,0.7,3.7,0.3,0,0,0
268,Jimmy Graham,CHI,TE,23.8,249.1,2.7,0.1,0,0,0,0,0,0
269,Byron Pringle,KC,WR,22.7,290.9,2,0.2,0,0,0,0,0,0
270,Quintez Cephus,DET,WR,23.8,316.3,1.5,0.2,0,0,0,0,0,0
271,Richie James Jr.,SF,WR,23.1,356.4,1.4,2.1,0.8,0,0,0,0,0
272,Travis Fulgham,PHI,WR,22.7,296.2,1.6,0.1,0,0,0,0,0,0
273,Jacob Hollister,BUF,TE,29.1,264.3,2.3,0.6,0,0,0,0,0,0
274,Dalton Schultz,DAL,TE,26.7,277.6,2.1,0.6,0,0,0,0,0,0
275,Mike Boone,DEN,RB,6.6,44.5,1.8,0.6,50.4,238.7,1.8,0,0,0
276,Benny Snell Jr.,PIT,RB,7,48.3,1.8,0.7,62.5,232,1.8,0,0,0
277,Xavier Jones,LAR,RB,8.3,66,1.6,0.5,47.2,196.2,1.6,0,0,0
278,Kyle Allen,WAS,QB,0,0,0,0,7,26,0,628,4,3.5
279,Scotty Miller,TB,WR,17,245.3,1.8,0.1,1.4,7.7,0.1,0,0,0
280,Samaje Perine,CIN,RB,9.1,61.7,1.4,0.1,48.9,207,1.4,0,0,0
281,Dyami Brown,WAS,WR,19.7,273.6,1.5,0.1,0,0,0,0,0,0
282,Geronimo Allison,DET,WR,25.3,276.2,1.4,0.1,0,0,0,0,0,0
283,Isaiah McKenzie,BUF,WR,18.9,201.5,1.9,0.1,5.7,28.4,0.2,0,0,0
284,Tutu Atwell,LAR,WR,21.2,275.7,1.4,0.2,0,0,0,0,0,0
